,tokenized_text,is_after_split_date
0,waisman time autistic voices heard acknowledged first foremost says autistic adults adds right perhaps duty speak,False
1,also problematic using disability word never meant synonym disability sit well together,False
2,neurodivergence provoking new mind sight via,False
3,well known employers obligation make reasonable adjustments disabled employees might easy employees condition,False
4,theory come fairly intuitively anarchists real challenges internalized ableism treat people individuals making assumptions communicating early often honestly assertively without making things personal,False
5,news campaign launch today challenge stigma wired differently moray,False
6,senia happy hour check podcast special guest author behavior code practical guide understanding teaching challenging students dont miss,False
7,thanks dear friend ally travellers ashling foran people joining online campaign supporting rise autistic travellers voices,False
8,thanks shout great articles newsletter including one impact coronavirus youre,False
9,autism isnt defect heres embrace,False
10,good morning kind friends wanted reach say thank much shown past weeks truly grateful honoured u much needed inspirational work,False
11,even quarter past nine im verge meltdown fuck,False
12,yes discovering little things happened throughout life seemed disconnected suddenly made sense,False
13,uptake podcast episode superpower,False
14,imagine people living life peace,False
15,hrzone workforce requires empathetic leadership really thrive perform best time employers think inclusively,False
16,beta read earlier version rep good need books like really hoping gets snapped bc want bookshelf,False
17,know weird zoom moments ever feel awkward clumsy people prosopagnosia feel way real life,False
18,trusting relationships treated equal vital thats take different less hope encourages people look others patronizing,False
19,ability per se specific elements might different everyone parts definitely disabilities though,False
20,fresh hell movement sounds vicious trans rights activism online socjus movements rabid,False
21,important great organizations undrstand diverse talent strength cud possibly get franchise times wfh best time start pilot,False
22,excellent reminder youre ok great youre ok thats ok need cope best lets beating,False
23,youre curious research wondering differences vs looking new perspective medicine check podcast id love know think,False
24,look outside box afraid take employee disability likely pleasantly surprised,False
25,yaaass jumps squealing excitedly huge thankyou accepting poem part issue,False
26,great resources hub school university students seen,False
27,good explanation new nuances navigate found looking window whilst listening someone sharing info rather dialogue gain consensus helps fatigue interesting things unpick,False
28,gaslighting lump ms w shameless,False
29,may month little warrior overcome greatest challenges journey find voice show world appropriate effective therapy done,False
30,agree would think probably true time picking nonverbal cues person easier get lost online maybe consider enough people comfort skill preference communication,False
31,hi everyone brought new set challenges concepts result listing guidelines appropriate people least community,False
32,different enter challenge learn win great prizes,False
33,mel baggs blogger autism disability dies mel baggs whose forthright writings movies approximately nonverbal character autism made impact within fields disability rights,False
34,handling talent handling health wellness handling crisis communications well well able regula,False
35,explain brain challenge live partnering untapped group secondary ss invited create short video infographic exploring register,False
36,video ondemand available thursday sessions matters conference watch,False
37,must ooen mind notion,False
38,q also always remind people began teaching students black twin sister autistic shes black disablities default isnt white default isnt white male middle class page book,False
39,beginning movement understanding next human rights movement,False
40,first assessment last decided tell psychiatrist group,False
41,hope decrease mental health discrimination bias increase quality nocost mental health care increase tolerance advocacy understanding acceptance mental health,False
42,lets young voices heard incredible production limited time volume,False
43,lets young voices heard incredible production limited time volume,False
44,todays openplan geared towards extroverts onesizefitsall businesses serious new normal big part conversation,False
45,many programs activities featured blogs website check follow please retweet,False
46,thankyou wait share young people,False
47,better fix existing websites accessibility build brand new one,False
48,great resource remixed using several resources including,False
49,wrote piece disability justice network ontario todays autism strategy townhall feels autistic person watching,False
50,turn chicago talented experts comprehensive multidisciplinary autism spectrum evaluations,False
51,worry semantic morphing monopolization discourse one group counterproductive building broader coalition increasing awareness valuable perspective,False
52,term meant encompass wide variety conditions feel like whenever see used means autism ive never seen someone dyslexia epilepsy describe,False
53,welcome month every month celebrate shapes communities recognize everpresent need acceptance appreciation unique perspective individuals varying brain health experiences bring,False
54,talk autistic stimming autism q video youtube,False
55,hello nancy wondered going interview people lockdown ways coped hope everything ok thanks emily,False
56,proper chance finally talk person intellectual disability instead used dismiss persons disability drag,False
57,check soon webinar date talking meanwhile st recent blog,False
58,keep charges like youd keep phone charged check battery,False
59,autistic representation kidlit along get grip vivy cohen,False
60,unfortunately id bet last dollar majority teachers know nothing masking school connection undiagnosed nonaccommodated mental health issues unmentioned tweets fighting,False
61,new animation youtube check friday feeling happy friday everyone search alphaic,False
62,thank sharing ron glad becoming accepted society,False
