,tokenized_text,is_after_split_date
0,looking someone cool meet person one together took denier gymnastics tonight hats comrade oh right things kids keep pushing,False
1,relate lack ability skill focus seems extremely ignorant global decrease attention spans doesnt seem like good excuse undermine people actually struggle easily distracted adhd even remotely,False
2,forced deal function stacks weaknesses lifelong learner logicalrational individual dubbed w personality visionary future focused awareness makes wiser beyond years,False
3,fyi credit b dementia care via mooc mosaic myriad pathways job descriptions may change home community residential sectors need much restrictive practices gender diversity,False
4,reasons children school complex include mental health difficulties family adversity caring responsibilities making families lives difficult help situation,False
5,dr alexa canady first black female neurosurgeon us stan lansing michigan,False
6,like like listed right order stumbled across awesome podcast earlier loved episode blade runner,False
7,reasons love sweatshirts,False
8,support students support time per standpoint theory particularly wellversed paradigm experts issues benefit aba,False
9,genetic pretty decent chance actually figured spectrum well son diagnosed doc like usually runs families started asking questions sparked revelations brain lol,False
10,quite common adhd folks also autistic types tend run families youre everything son hang,False
11,feel like youre going name anthology paradigm minimum show respect would understanding actually advocates im feeling angry,False
12,workplace rising intended tool help anyone wants make world spaces around inclusive people organizations communities schools beyond,False
13,attention readers need help spreading word workplace rising,False
14,masking basically masking painful unprocessed grief grieve community enough family maybe widows wear black,False
15,excited announce new cohort fall come pursue msed degree ed focus twice exceptionalities priority deadline,False
16,confused bio individuals please clarify mean,False
17,working life women know feel even worse women colour women women disability women trauma im sorry experiencing,False
18,mental health specific personal independence payment assessment sign petition via,False
19,full broadcast blind girl lucy,False
20,essence human rights based practice aligned fosters realities rejects behaviourbased compliance social skills training check great resources,False
21,dont really know much yet possibly relationship gender dysphoria connective tissue disorders pots present one might well check rest,False
22,morning looking forward webinar annemarie harrison education director ideas afresh education questions get answered joining us register,False
23,disclosing diagnosis difficult sensitive benefits revealing workplace,False
24,autism law scotland already recently syndrome bill england syndrome included learning disability autism bill singled ill keep posting til reply stop ignoring,False
25,diversity age race gender also much cant see impacts us much see lets celebrate embrace visible invisible differences workplace,False
26,im moment right remember song tune lyrics think image drew sadly nothing song looking making sad,False
27,women tech changing landscape higher education redefining society podcast guests asia bajaña rick benbow,False
28,even autism saying becoming trend etc,False
29,think one useful tools ive picked smart watch take months get used new thing always wrist alarm timer cant forget room button locate phone silent,False
30,depends talk familys autism absolutely bc want disabilities become understood would talk std definitely keep lot within interest groups tho,False
31,understanding workplace,False
32,look great nice day excited,False
33,great article need address celebrate work trust youre killing creative spirits rigid work environments,False
34,shirt speech therapy shirt cota slpa speech pathology aac shirt sped teacher shirt gifts inclusion shirt inclusion shirt vijashop,False
35,people call photography call,False
36,automatically add items facebook catalog make,False
37,would love hear speaking opportunities might coming whether customer journey strategy crms run membership need guest speaker event conference anything,False
38,save date nutritious minds adult adhd conversations continues wed march pm joined nutritious minds ambassador alexandra annable head strategy brand partnerships jukebox pr advocate workplace,False
39,hi part day job research equalities strategies local authorities isnt area specialism know quite case study examples good practice happy send whats email,False
40,proud support celebration together lets change narrative understand celebrate,False
41,everything medicine really get trauma,False
42,course school horrible place many children particularly undiagnosed,False
43,thats great work many adults wrongly diagnosed personality disorders bpd perhaps time less popular completely denied asd assessments reassessment even denied normal healthcare due pejorative label pd bpd,False
44,team great time exploring things yesterday members community people employ support find support,False
