,General Work-related Terms,Work Environment,Work Dynamics,Work Performance,Work Schedule,Work Challenges,Work-Life Balance,Work Ethics and Values,Work Rights and Policies,Neurodiversity and Inclusion at Work,Career Development
0,work,workplace,teamwork,productivity,shift,stress,balance,ethics,rights,inclusion,development
1,job,office,collaboration,efficiency,schedule,burnout,work-life,integrity,policy,diversity,growth
2,employment,worksite,cooperation,performance,hours,pressure,time off,honesty,regulation,accommodation,promotion
3,occupation,remote work,partnership,output,overtime,overload,leave,responsibility,law,accessibility,advancement
4,profession,telecommuting,synergy,result,part-time,challenge,vacation,accountability,rule,support,training
5,career,work from home,interaction,achievement,full-time,difficulty,break,dedication,guideline,adjustment,learning
6,vocation,virtual work,communication,milestone,freelance,obstacle,rest,commitment,standard,sensitivity,skill
7,position,desk,discussion,goal,contract,hurdle,relaxation,loyalty,procedure,awareness,competency
8,role,cubicle,meeting,objective,temporary,problem,downtime,reliability,compliance,acceptance,expertise
9,task,workstation,,target,permanent,issue,leisure,punctuality,contract,empathy,mastery
10,,,,,,,,,,,
